X,Y
0,50092.086
1,50160.738
2,50334.523
3,50327.000
4,50523.129
5,50671.824
6,50868.219
7,51142.262
8,49828.262
9,36599.871
10,14454.131
11,8999.131
12,7602.087
13,6589.609
14,6428.348
15,6385.478
16,6246.739
17,6299.696
18,6302.957
19,6346.957
20,6248.043
21,6253.696
22,6246.087
23,6207.522
24,6294.435
25,6709.087
26,7784.304
27,10409.826
28,17743.088
29,36500.957
30,49379.477
31,51937.043
32,52632.957
33,52397.477
34,52480.781
35,52562.914
36,52378.043
37,52472.914
38,52925.129
39,52829.305
40,53207.566
41,53613.914
42,53924.477
43,50528.219
44,33082.305
45,12510.174
46,9133.565
47,7573.870
48,6805.348
49,6557.043
50,6515.174
51,6514.957
52,6460.609
53,6352.391
54,6422.043
55,6470.348
56,6411.913
57,6341.391
58,6405.565
59,6371.565
60,6707.739
61,7677.870
62,10216.956
63,19408.695
64,40477.129
65,52341.348
66,54050.957
67,54156.738
68,53938.391
69,53676.871
70,53893.566
71,53938.219
72,53906.957
73,53818.781
74,53902.566
75,54376.824
76,54524.043
77,54707.824
78,51876.262
79,36081.000
80,14963.044
81,9761.565
82,7807.957
83,6743.043
84,6654.391
85,6685.261
86,6867.870
