X,Y
0,8118.371
1,8303.726
2,8234.661
3,7973.709
4,8088.968
5,8916.790
6,9732.693
7,10084.887
8,10484.983
9,11210.322
10,12303.354
11,13637.903
12,15618.887
13,19701.984
14,27797.920
15,38999.082
16,49304.289
17,55884.984
18,59213.711
19,60501.676
20,60807.516
21,60804.969
22,60547.805
23,60626.289
24,60825.887
25,60829.887
26,60729.516
27,60856.453
28,60970.566
29,60887.918
30,60843.805
31,60102.887
32,57728.355
33,52006.469
34,41942.371
35,28875.227
36,17761.613
37,11879.549
38,10244.597
39,9785.532
40,9282.726
41,9191.307
42,9396.113
43,9038.742
44,8334.887
45,8027.500
46,8211.517
47,8219.887
48,8024.516
49,7825.952
50,8022.129
51,8422.919
52,8504.758
53,8207.597
54,8124.613
55,8864.710
56,9722.936
57,10055.468
58,9980.742
59,10445.742
60,11450.468
61,12876.354
62,15239.839
63,19916.322
64,27923.855
65,38823.418
66,49061.824
67,55777.082
68,58703.789
69,59809.000
70,60073.305
71,59923.160
72,59530.855
73,59548.484
74,59832.113
75,59749.211
76,59624.598
77,59708.855
78,59926.469
79,59960.371
80,59925.789
81,59320.066
82,56933.371
83,51031.145
84,40615.355
85,27978.387
86,16962.049
87,10515.532
88,7786.903
89,7007.548
90,7014.097
91,7643.532
92,8475.371
93,8659.774
94,8162.564
95,7870.903
96,8372.951
97,8573.629
98,8299.419
99,8049.291
