X,Y
0,8075.226
1,7977.774
2,8178.484
3,8349.968
4,8328.871
5,8154.484
6,7787.548
7,7817.193
8,8349.161
9,8895.871
10,9235.678
11,9413.258
12,9876.549
13,10889.742
14,12178.483
15,13588.968
16,15561.354
17,19043.967
18,24859.484
19,33476.613
20,43272.934
21,50997.195
22,56073.711
23,58902.613
24,60011.773
25,60574.902
26,60720.324
27,60554.969
28,60405.160
29,60499.387
30,60741.711
31,60670.355
32,60588.676
33,60488.289
34,60633.645
35,60762.031
36,60783.742
37,60551.160
38,59989.355
39,58539.547
40,55038.387
41,48533.129
42,39196.418
43,28600.871
44,19142.580
45,12978.226
46,10136.193
47,9314.161
48,8947.290
49,8713.483
50,8753.613
51,9041.968
52,9009.129
53,8485.483
54,7905.000
55,7800.097
56,8001.419
57,8072.871
58,7860.839
59,7492.709
60,7277.226
61,7493.484
62,7803.452
63,7770.161
64,7544.129
65,7532.968
66,7909.419
67,8812.129
68,9472.193
69,9695.064
70,10012.807
71,10495.354
72,11489.646
73,12901.000
74,14428.000
75,16461.451
76,20223.000
77,26800.773
78,36146.418
79,45597.582
80,52413.289
81,56307.840
82,58171.484
83,59145.160
84,59356.516
85,59139.355
86,59003.840
87,59104.484
88,59194.934
89,59314.773
90,59376.098
91,59422.934
92,59462.840
93,59622.289
94,59974.547
95,60112.934
96,60018.969
97,59468.098
98,57547.258
99,53272.871
100,45401.969
101,34892.711
102,23895.871
103,15523.064
104,10879.742
105,8886.581
106,8271.710
107,8047.387
108,8170.419
109,8676.193
110,9127.354
111,9052.161
112,8618.064
113,8198.419
114,8076.968
115,8092.097
116,8056.129
