X,Y
0,8312.767
1,7840.733
2,8029.267
3,8674.566
4,9371.866
5,9610.767
6,9932.066
7,10580.833
8,11775.000
9,13295.634
10,15171.167
11,17867.867
12,23108.033
13,31034.967
14,39753.699
15,46756.102
16,51082.465
17,53506.199
18,54693.332
19,55090.332
20,54530.535
21,52292.367
22,48208.000
23,41339.602
24,32172.633
25,23350.900
26,16933.301
27,13959.533
28,12724.533
29,11927.333
30,10737.033
31,9979.500
32,9570.000
33,9500.533
34,9312.833
35,8748.167
36,8065.667
37,7616.000
38,7890.667
39,8683.467
40,9230.333
41,9411.866
42,9689.167
43,10321.667
44,11321.366
45,12857.134
46,14790.167
47,17744.166
48,23249.566
49,31512.133
50,40202.035
51,47411.668
52,52107.035
53,54370.500
54,55579.867
55,55806.066
56,54982.602
57,53040.434
58,48659.801
59,41150.535
60,31313.768
61,21794.232
62,15328.700
63,12538.033
64,11452.300
65,11028.934
66,10257.066
67,9613.533
68,9011.134
69,8848.667
70,8499.500
71,8126.333
72,7632.367
73,7406.867
74,7222.133
75,7359.433
