X,Y
0,8290.757
1,8059.797
2,8424.878
3,9402.986
4,10313.405
5,10858.338
6,12137.311
7,14591.784
8,17477.689
9,21433.324
10,29983.311
11,43269.000
12,53970.148
13,58915.715
14,60399.891
15,60533.109
16,60350.934
17,60377.027
18,60243.094
19,60068.027
20,59888.066
21,59846.027
22,59819.164
23,59751.527
24,59732.312
25,59846.418
26,59894.312
27,59866.934
28,59881.863
29,59998.461
30,60059.621
31,59912.363
32,59836.988
33,59780.445
34,59713.203
35,59746.906
36,59768.664
37,59688.539
38,59634.836
39,59561.270
40,59615.012
41,59683.363
42,59676.730
43,59823.715
44,60087.055
45,60245.676
46,60218.566
47,60048.270
48,60030.785
49,59349.863
50,56016.703
51,46514.785
52,30808.094
53,17680.041
54,12615.973
55,11459.000
56,10472.284
57,9566.229
58,9089.959
59,8547.729
60,7768.878
61,7549.419
62,7661.622
63,7656.229
64,7544.716
65,7649.271
66,7754.000
67,7552.595
68,7428.797
69,7751.689
70,7756.365
71,7690.919
72,7804.162
73,7941.000
74,7701.162
75,7726.541
76,7830.527
77,7727.784
78,7738.703
79,7856.865
80,7764.392
81,7589.014
82,7784.271
83,7725.838
84,7560.297
85,7710.108
86,7736.662
87,7516.054
88,7487.595
89,7683.365
90,7735.041
91,7427.973
92,7458.878
93,7880.446
94,7563.229
95,7448.324
96,8095.676
97,9304.959
98,9954.608
99,10810.459
100,12690.811
101,15598.054
102,18475.203
103,23032.176
104,33499.594
105,46790.082
106,55657.094
107,58969.621
108,59607.988
109,59405.488
110,59136.203
111,59193.352
112,59003.703
113,58688.539
114,58514.594
115,58423.594
116,58335.664
117,58291.582
118,58283.582
119,58364.582
120,58418.230
121,58410.758
122,58420.609
123,58424.770
124,58480.863
125,58518.242
126,58466.188
127,58473.852
128,58500.188
129,58352.242
130,58452.906
131,58468.988
132,58285.836
133,58199.973
134,58082.812
135,58162.621
136,58142.812
137,58221.039
138,58505.000
139,58791.539
140,58740.863
141,58737.676
142,58967.000
143,58921.027
144,57045.242
145,50358.242
146,35786.012
147,20290.770
148,12528.905
149,11056.311
150,10454.014
151,9518.446
152,8954.838
153,8332.324
154,7472.324
155,6951.378
156,6963.378
157,7184.838
158,7065.635
159,7003.838
