X,Y
0,6774.451
1,6864.780
2,6872.902
3,6969.268
4,6882.439
5,6946.622
6,6872.427
7,6867.292
8,6784.537
9,6863.012
10,6843.805
11,6869.890
12,6835.024
13,7101.317
14,8339.891
15,9544.366
16,10787.731
17,15361.805
18,36411.781
19,53925.512
20,57244.742
21,56739.645
22,56502.914
23,55882.645
24,55506.926
25,55568.258
26,55491.633
27,55528.965
28,55515.402
29,55590.805
30,55542.305
31,55671.512
32,55640.035
33,55735.672
34,55877.426
35,55880.855
36,55856.621
37,55898.230
38,56023.414
39,56492.000
40,57052.121
41,57627.328
42,53439.258
43,36279.562
44,20827.330
45,15747.756
46,11673.134
47,9477.720
48,7634.659
49,7059.988
50,7141.805
51,7081.220
52,7344.732
53,7047.988
54,7205.976
55,7046.646
56,7155.000
57,7185.744
58,7302.634
59,7229.037
60,7210.292
61,7234.549
62,7260.098
63,7262.000
64,7154.598
65,7246.208
66,7326.122
67,7256.963
68,7230.573
69,7441.951
70,8602.305
71,9795.842
72,11198.415
73,14064.829
74,31383.854
75,52626.500
76,58549.109
77,58599.914
78,58478.207
79,58120.621
80,57665.035
81,57647.816
82,57573.488
83,57730.465
84,57805.770
85,57902.707
86,57895.633
87,57874.781
88,57954.879
89,58144.574
90,58266.453
91,58306.258
92,58370.535
93,58458.598
94,58669.902
95,58985.242
96,59315.316
97,59597.426
98,55366.012
99,38642.719
100,22392.928
101,16084.793
102,11866.085
103,9879.573
104,8283.854
105,7648.988
106,7672.524
107,7545.890
108,7755.073
109,7627.573
110,7796.439
111,7705.159
112,7834.317
113,7615.634
114,7784.683
115,7704.256
116,7893.549
