X,Y
0,8137.327
1,8285.546
2,8428.019
3,8376.473
4,8424.782
5,8810.909
6,9195.964
7,9363.200
8,9364.745
9,9704.255
10,11030.473
11,13216.454
12,15309.600
13,18045.436
14,23679.346
15,32541.527
16,42706.762
17,51381.309
18,56665.164
19,59213.492
20,60273.254
21,60594.219
22,60713.547
23,60893.000
24,60983.691
25,61118.289
26,61237.691
27,61373.945
28,61235.199
29,60984.816
30,60693.035
31,60731.074
32,60632.145
33,60151.398
34,58546.164
35,54950.273
36,47934.328
37,37230.762
38,26045.672
39,17900.818
40,13703.382
41,12146.346
42,11285.563
43,10228.981
44,9269.637
45,8974.400
46,9078.000
47,9066.945
48,8703.072
49,8187.836
50,8164.437
51,8422.055
52,8458.600
53,8224.164
54,7979.727
55,8085.055
56,8277.236
57,8298.109
58,8309.346
59,8455.127
60,8803.000
61,9367.200
62,9604.782
63,9362.509
64,9204.146
65,9619.291
66,10804.454
67,12975.473
68,16854.145
69,23715.363
70,33550.492
71,44038.473
72,52065.602
73,57085.691
74,59454.910
75,60292.672
76,60627.344
77,60620.711
78,60595.383
79,60625.199
80,60676.508
81,60649.945
82,60492.453
83,60180.926
84,60081.547
85,60084.383
86,60154.453
87,59798.254
88,58279.129
89,54821.219
90,48419.711
91,38462.926
92,27319.582
93,18159.527
94,12654.964
95,9877.200
96,8988.454
97,8694.854
98,8798.164
99,9104.854
100,9344.055
101,9274.236
102,8796.127
103,8306.272
104,8170.891
105,8332.981
106,8259.437
107,8014.327
