X,Y
0,4863.833
1,10029.134
2,10094.767
3,10965.000
4,12874.634
5,15482.134
6,21474.867
7,32418.000
8,45213.168
9,54168.500
10,58461.734
11,60064.066
12,60299.965
13,60639.965
14,60776.367
15,60916.000
16,61108.133
17,61084.398
18,60988.398
19,60820.332
20,60722.766
21,60015.734
22,57736.398
23,51242.398
24,39127.965
25,25365.066
26,16467.334
27,12823.967
28,11371.200
29,10091.500
30,9156.400
31,8754.833
32,8810.566
33,8733.100
34,8235.467
35,7918.500
36,8094.900
37,8184.933
38,8160.300
39,8088.767
40,8183.933
41,8381.066
42,8424.434
43,8297.300
44,8860.400
45,9443.066
46,9520.000
47,9179.467
48,9425.866
49,10674.667
50,12880.700
51,17080.133
52,25361.000
53,37077.434
54,48281.066
55,55492.434
56,58940.566
57,60213.000
58,60627.367
59,60778.301
60,61031.465
61,61188.699
62,61316.602
63,61352.199
64,61242.934
65,61021.898
66,60944.367
67,60812.832
68,60199.000
69,57680.668
70,51711.301
71,40429.102
72,27287.133
73,17500.000
74,13109.333
75,11516.500
76,10581.700
77,9513.333
78,9021.333
79,8961.100
80,8988.200
81,8543.566
82,8069.900
83,7854.000
84,8184.533
85,8168.367
86,7754.433
