X,Y
0,58848.738
1,58937.086
2,59140.695
3,59013.305
4,59036.391
5,58939.914
6,59008.566
7,59141.957
8,59266.523
9,56965.176
10,38682.176
11,13723.087
12,9944.174
13,8371.087
14,7303.565
15,7391.174
16,7427.870
17,7353.696
18,7460.130
19,7617.087
20,7548.826
21,7315.435
22,7239.696
23,7332.087
24,7328.565
25,7225.609
26,7013.478
27,7111.261
28,8218.608
29,11148.435
30,18723.869
31,36874.871
32,56485.391
33,58185.477
34,57639.434
35,57455.523
36,57046.871
37,57016.434
38,56931.609
39,56584.219
40,56635.824
41,56510.871
42,56218.000
43,56182.652
44,56429.652
45,57086.477
46,56893.000
47,47537.523
48,19537.262
49,10304.261
50,8513.521
51,7132.348
52,6809.174
53,6784.391
54,6799.087
55,6651.696
56,6742.348
57,6786.696
58,6883.652
59,6976.217
60,7047.174
61,7052.913
62,6866.565
63,6897.739
64,7080.826
65,7831.609
66,10718.392
67,16280.782
68,30000.783
69,52909.477
70,55852.000
71,55028.262
72,54347.957
73,54289.086
74,54225.652
75,53772.824
76,53872.871
77,53753.566
78,53501.914
79,53450.781
80,53370.957
81,53533.391
82,54227.262
83,54580.609
84,50517.348
85,27460.348
86,10656.218
87,8885.479
88,7306.000
89,6745.739
90,6628.304
91,6649.957
92,6416.913
93,6402.870
94,6499.304
