X,Y
0,7077.476
1,7130.427
2,7276.427
3,7286.866
4,7332.427
5,7303.695
6,7347.549
7,7470.110
8,7465.841
9,7452.841
10,7356.585
11,7464.671
12,7656.061
13,8383.842
14,9905.171
15,11694.061
16,16126.378
17,29760.830
18,47268.660
19,54469.340
20,56059.500
21,56895.879
22,56953.145
23,56925.891
24,56898.133
25,56995.133
26,57020.133
27,57046.258
28,57006.316
29,57059.465
30,56982.523
31,56916.207
32,57085.121
33,57213.879
34,57315.328
35,57422.367
36,57605.438
37,57700.477
38,57380.367
39,54630.855
40,40181.281
41,19416.354
42,11964.866
43,10624.780
44,9653.683
45,8510.280
46,7896.890
47,7705.280
48,7612.573
49,7593.708
50,7640.366
51,7516.780
52,7502.171
53,7496.524
54,7457.732
55,7424.000
56,7395.073
57,7439.012
58,7346.756
59,7282.366
60,7338.049
61,7304.915
62,7404.817
63,7404.134
64,7521.292
65,7824.817
66,8983.891
67,10345.609
68,12773.964
69,20276.523
70,38432.270
71,52966.672
72,56875.621
73,57802.879
74,58238.867
75,58211.035
76,58160.258
77,58062.523
78,58043.242
79,58105.270
80,58357.160
81,58456.805
82,58506.328
83,58489.184
84,58557.012
85,58614.133
86,58618.145
87,58727.047
88,58738.355
89,58980.391
90,59010.270
91,58802.879
92,56085.172
93,41641.133
94,20942.402
95,12621.085
96,10484.891
97,9399.866
98,8451.891
99,7962.268
100,7826.890
101,7694.598
102,7814.939
103,7881.341
104,7899.915
105,7877.378
106,7891.208
107,7901.354
108,7866.183
109,7865.610
110,7857.939
111,7843.817
112,7930.524
113,7925.659
114,7990.037
115,8068.683
116,8131.341
